"CUSTOMERNAME","Cluster"
"Gift Depot Inc.","cluster_2"
"La Rochelle Gifts","cluster_2"
"Marta's Replicas Co.","cluster_1"
"Toys of Finland, Co.","cluster_2"
"Mini Classics","cluster_1"
"Diecast Classics Inc.","cluster_2"
"Land of Toys Inc.","cluster_1"
"Tokyo Collectables, Ltd","cluster_0"
"Technics Stores Inc.","cluster_0"
"Australian Gift Network, Co","cluster_0"
"FunGiftIdeas.com","cluster_3"
"UK Collectables, Ltd.","cluster_2"
"Euro Shopping Channel","cluster_2"
"Danish Wholesale Imports","cluster_2"
"Salzburg Collectables","cluster_1"
"Stylish Desk Decors, Co.","cluster_1"
"Mini Creations Ltd.","cluster_1"
"Toys of Finland, Co.","cluster_1"
"Scandinavian Gift Ideas","cluster_1"
"Alpha Cognac","cluster_0"
"Double Decker Gift Stores, Ltd","cluster_0"
"Enaco Distributors","cluster_1"
"Men 'R' US Retailers, Ltd.","cluster_1"
"Collectable Mini Designs Co.","cluster_1"
"Land of Toys Inc.","cluster_0"
"Quebec Home Shopping Network","cluster_0"
"Petit Auto","cluster_0"
"Royal Canadian Collectables, Ltd.","cluster_0"
"Gifts4AllAges.com","cluster_0"
"Classic Gift Ideas, Inc","cluster_0"
"giftsbymail.co.uk","cluster_0"
"Baane Mini Imports","cluster_0"
"Classic Legends Inc.","cluster_3"
"Euro Shopping Channel","cluster_3"
"Reims Collectables","cluster_3"
"Oulu Toy Supplies, Inc.","cluster_0"
"Corporate Gift Ideas Co.","cluster_1"
"Lyon Souveniers","cluster_0"
"The Sharp Gifts Warehouse","cluster_2"
"Gifts4AllAges.com","cluster_0"
"Baane Mini Imports","cluster_1"
"La Corne D'abondance, Co.","cluster_0"
"Corrida Auto Replicas, Ltd","cluster_0"
"Technics Stores Inc.","cluster_0"
"Dragon Souveniers, Ltd.","cluster_0"
"Mini Auto Werke","cluster_0"
"Stylish Desk Decors, Co.","cluster_1"
"Classic Gift Ideas, Inc","cluster_0"
"Saveley & Henriot, Co.","cluster_0"
"Diecast Collectables","cluster_0"
"Handji Gifts& Co","cluster_2"
"Mini Gifts Distributors Ltd.","cluster_1"
"Super Scale Inc.","cluster_1"
"Handji Gifts& Co","cluster_0"
"Souveniers And Things Co.","cluster_0"
"Diecast Classics Inc.","cluster_2"
"Scandinavian Gift Ideas","cluster_0"
"Marta's Replicas Co.","cluster_2"
"Canadian Gift Exchange Network","cluster_2"
"Online Diecast Creations Co.","cluster_0"
"Volvo Model Replicas, Co","cluster_0"
"Australian Collectors, Co.","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_1"
"Anna's Decorations, Ltd","cluster_3"
"Corporate Gift Ideas Co.","cluster_1"
"Anna's Decorations, Ltd","cluster_3"
"Quebec Home Shopping Network","cluster_1"
"La Rochelle Gifts","cluster_1"
"Cruz & Sons Co.","cluster_1"
"Marseille Mini Autos","cluster_2"
"Mini Gifts Distributors Ltd.","cluster_2"
"Collectables For Less Inc.","cluster_2"
"Corporate Gift Ideas Co.","cluster_2"
"Anna's Decorations, Ltd","cluster_1"
"Herkku Gifts","cluster_1"
"Toms Spezialitten, Ltd","cluster_0"
"Euro Shopping Channel","cluster_0"
"Auto Canal Petit","cluster_2"
"Vida Sport, Ltd","cluster_1"
"Danish Wholesale Imports","cluster_1"
"UK Collectables, Ltd.","cluster_0"
"L'ordine Souveniers","cluster_2"
"Online Mini Collectables","cluster_2"
"Vida Sport, Ltd","cluster_0"
"Blauer See Auto, Co.","cluster_1"
"Toms Spezialitten, Ltd","cluster_2"
"Volvo Model Replicas, Co","cluster_2"
"Land of Toys Inc.","cluster_0"
"Salzburg Collectables","cluster_0"
"Suominen Souveniers","cluster_0"
"La Rochelle Gifts","cluster_0"
"Scandinavian Gift Ideas","cluster_3"
"Salzburg Collectables","cluster_3"
"Danish Wholesale Imports","cluster_2"
"Dragon Souveniers, Ltd.","cluster_1"
"Muscle Machine Inc","cluster_2"
"Mini Gifts Distributors Ltd.","cluster_2"
"Euro Shopping Channel","cluster_1"
"Dragon Souveniers, Ltd.","cluster_2"
"L'ordine Souveniers","cluster_2"
"Mini Creations Ltd.","cluster_0"
"Super Scale Inc.","cluster_2"
"Saveley & Henriot, Co.","cluster_2"
"Clover Collections, Co.","cluster_2"
"CAF Imports","cluster_2"
"Suominen Souveniers","cluster_2"
"Diecast Classics Inc.","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_2"
"Amica Models & Co.","cluster_2"
"AV Stores, Co.","cluster_1"
"Heintze Collectables","cluster_2"
"Baane Mini Imports","cluster_0"
"La Corne D'abondance, Co.","cluster_3"
"Corrida Auto Replicas, Ltd","cluster_3"
"Reims Collectables","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_0"
"Lyon Souveniers","cluster_3"
"Gift Depot Inc.","cluster_2"
"Baane Mini Imports","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_0"
"Corrida Auto Replicas, Ltd","cluster_3"
"Technics Stores Inc.","cluster_1"
"Dragon Souveniers, Ltd.","cluster_0"
"Mini Auto Werke","cluster_1"
"Australian Gift Network, Co","cluster_2"
"Classic Gift Ideas, Inc","cluster_1"
"Saveley & Henriot, Co.","cluster_1"
"Canadian Gift Exchange Network","cluster_0"
"Auto Assoc. & Cie.","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_0"
"Super Scale Inc.","cluster_1"
"Tokyo Collectables, Ltd","cluster_2"
"Souveniers And Things Co.","cluster_0"
"Diecast Classics Inc.","cluster_0"
"Scandinavian Gift Ideas","cluster_1"
"Auto Assoc. & Cie.","cluster_1"
"Canadian Gift Exchange Network","cluster_0"
"Online Diecast Creations Co.","cluster_1"
"Mini Wheels Co.","cluster_0"
"Australian Collectors, Co.","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_1"
"Anna's Decorations, Ltd","cluster_2"
"Corporate Gift Ideas Co.","cluster_0"
"Anna's Decorations, Ltd","cluster_3"
"Quebec Home Shopping Network","cluster_1"
"Euro Shopping Channel","cluster_2"
"Land of Toys Inc.","cluster_0"
"Reims Collectables","cluster_2"
"Lyon Souveniers","cluster_0"
"Toys4GrownUps.com","cluster_2"
"Corporate Gift Ideas Co.","cluster_1"
"Anna's Decorations, Ltd","cluster_1"
"Daedalus Designs Imports","cluster_2"
"Toys4GrownUps.com","cluster_1"
"Mini Wheels Co.","cluster_0"
"Auto Canal Petit","cluster_1"
"Daedalus Designs Imports","cluster_1"
"Vitachrome Inc.","cluster_0"
"Tekni Collectables Inc.","cluster_2"
"Gift Depot Inc.","cluster_1"
"Online Mini Collectables","cluster_1"
"Marta's Replicas Co.","cluster_2"
"Toys of Finland, Co.","cluster_0"
"Baane Mini Imports","cluster_1"
"Microscale Inc.","cluster_0"
"Land of Toys Inc.","cluster_0"
"Salzburg Collectables","cluster_2"
"Technics Stores Inc.","cluster_0"
"La Rochelle Gifts","cluster_0"
"FunGiftIdeas.com","cluster_1"
"UK Collectables, Ltd.","cluster_2"
"Euro Shopping Channel","cluster_0"
"Euro Shopping Channel","cluster_1"
"Dragon Souveniers, Ltd.","cluster_1"
"Muscle Machine Inc","cluster_2"
"Mini Gifts Distributors Ltd.","cluster_1"
"Euro Shopping Channel","cluster_1"
"Dragon Souveniers, Ltd.","cluster_1"
"L'ordine Souveniers","cluster_2"
"Mini Creations Ltd.","cluster_0"
"Super Scale Inc.","cluster_0"
"Saveley & Henriot, Co.","cluster_0"
"Clover Collections, Co.","cluster_1"
"Blauer See Auto, Co.","cluster_2"
"Suominen Souveniers","cluster_1"
"Diecast Classics Inc.","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_0"
"Amica Models & Co.","cluster_0"
"AV Stores, Co.","cluster_1"
"Heintze Collectables","cluster_1"
"Vitachrome Inc.","cluster_3"
"La Corne D'abondance, Co.","cluster_0"
"Corrida Auto Replicas, Ltd","cluster_1"
"Euro Shopping Channel","cluster_0"
"Tokyo Collectables, Ltd","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_0"
"Gift Depot Inc.","cluster_2"
"Cruz & Sons Co.","cluster_1"
"Marseille Mini Autos","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_1"
"Collectables For Less Inc.","cluster_0"
"Men 'R' US Retailers, Ltd.","cluster_1"
"Mini Auto Werke","cluster_1"
"Herkku Gifts","cluster_0"
"Toms Spezialitten, Ltd","cluster_1"
"Euro Shopping Channel","cluster_3"
"Euro Shopping Channel","cluster_1"
"Vida Sport, Ltd","cluster_3"
"Danish Wholesale Imports","cluster_0"
"UK Collectables, Ltd.","cluster_3"
"L'ordine Souveniers","cluster_3"
"Online Mini Collectables","cluster_1"
"Vida Sport, Ltd","cluster_1"
"Blauer See Auto, Co.","cluster_0"
"Toms Spezialitten, Ltd","cluster_0"
"Volvo Model Replicas, Co","cluster_1"
"Land of Toys Inc.","cluster_0"
"Salzburg Collectables","cluster_0"
"Suominen Souveniers","cluster_0"
"Boards & Toys Co.","cluster_0"
"Scandinavian Gift Ideas","cluster_3"
"Salzburg Collectables","cluster_3"
"Danish Wholesale Imports","cluster_1"
"Dragon Souveniers, Ltd.","cluster_1"
"Muscle Machine Inc","cluster_2"
"Mini Gifts Distributors Ltd.","cluster_2"
"Euro Shopping Channel","cluster_2"
"Dragon Souveniers, Ltd.","cluster_1"
"L'ordine Souveniers","cluster_2"
"Mini Creations Ltd.","cluster_2"
"Super Scale Inc.","cluster_2"
"Saveley & Henriot, Co.","cluster_0"
"Clover Collections, Co.","cluster_1"
"CAF Imports","cluster_2"
"Suominen Souveniers","cluster_0"
"Diecast Classics Inc.","cluster_2"
"Mini Gifts Distributors Ltd.","cluster_0"
"Amica Models & Co.","cluster_2"
"AV Stores, Co.","cluster_0"
"Heintze Collectables","cluster_2"
"Baane Mini Imports","cluster_3"
"La Corne D'abondance, Co.","cluster_0"
"Muscle Machine Inc","cluster_1"
"Reims Collectables","cluster_0"
"Tokyo Collectables, Ltd","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_1"
"Gift Depot Inc.","cluster_0"
"Cruz & Sons Co.","cluster_0"
"Marseille Mini Autos","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_3"
"Collectables For Less Inc.","cluster_3"
"Corporate Gift Ideas Co.","cluster_3"
"Anna's Decorations, Ltd","cluster_3"
"Herkku Gifts","cluster_3"
"Toms Spezialitten, Ltd","cluster_3"
"Euro Shopping Channel","cluster_0"
"Auto Canal Petit","cluster_3"
"Vida Sport, Ltd","cluster_0"
"Danish Wholesale Imports","cluster_3"
"UK Collectables, Ltd.","cluster_3"
"L'ordine Souveniers","cluster_0"
"Online Mini Collectables","cluster_0"
"Vida Sport, Ltd","cluster_0"
"Blauer See Auto, Co.","cluster_3"
"Toms Spezialitten, Ltd","cluster_0"
"Volvo Model Replicas, Co","cluster_0"
"Land of Toys Inc.","cluster_0"
"Salzburg Collectables","cluster_0"
"Suominen Souveniers","cluster_0"
"Toys of Finland, Co.","cluster_3"
"Scandinavian Gift Ideas","cluster_3"
"Salzburg Collectables","cluster_0"
"Euro Shopping Channel","cluster_1"
"Classic Legends Inc.","cluster_1"
"Muscle Machine Inc","cluster_3"
"Suominen Souveniers","cluster_3"
"Oulu Toy Supplies, Inc.","cluster_0"
"Dragon Souveniers, Ltd.","cluster_2"
"Stylish Desk Decors, Co.","cluster_0"
"Iberia Gift Imports, Corp.","cluster_1"
"Mini Classics","cluster_1"
"Diecast Collectables","cluster_0"
"Signal Collectibles Ltd.","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_1"
"Euro Shopping Channel","cluster_1"
"Handji Gifts& Co","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_0"
"Diecast Classics Inc.","cluster_1"
"Land of Toys Inc.","cluster_3"
"Marta's Replicas Co.","cluster_1"
"Heintze Collectables","cluster_1"
"Vitachrome Inc.","cluster_3"
"La Corne D'abondance, Co.","cluster_1"
"Muscle Machine Inc","cluster_1"
"Euro Shopping Channel","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_3"
"Euro Shopping Channel","cluster_1"
"La Rochelle Gifts","cluster_1"
"Cruz & Sons Co.","cluster_0"
"Marseille Mini Autos","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_0"
"Collectables For Less Inc.","cluster_0"
"Men 'R' US Retailers, Ltd.","cluster_1"
"Mini Auto Werke","cluster_1"
"Herkku Gifts","cluster_1"
"Online Diecast Creations Co.","cluster_0"
"Euro Shopping Channel","cluster_1"
"Euro Shopping Channel","cluster_0"
"Vida Sport, Ltd","cluster_0"
"Oulu Toy Supplies, Inc.","cluster_3"
"UK Collectables, Ltd.","cluster_1"
"L'ordine Souveniers","cluster_1"
"Dragon Souveniers, Ltd.","cluster_0"
"Vida Sport, Ltd","cluster_0"
"Blauer See Auto, Co.","cluster_0"
"Toms Spezialitten, Ltd","cluster_3"
"FunGiftIdeas.com","cluster_0"
"Land of Toys Inc.","cluster_3"
"Salzburg Collectables","cluster_0"
"Suominen Souveniers","cluster_0"
"Toys of Finland, Co.","cluster_1"
"Scandinavian Gift Ideas","cluster_1"
"Mini Caravy","cluster_2"
"Salzburg Collectables","cluster_0"
"Baane Mini Imports","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_1"
"Corrida Auto Replicas, Ltd","cluster_0"
"Technics Stores Inc.","cluster_0"
"Dragon Souveniers, Ltd.","cluster_1"
"Mini Auto Werke","cluster_0"
"Australian Gift Network, Co","cluster_1"
"Classic Gift Ideas, Inc","cluster_3"
"Saveley & Henriot, Co.","cluster_3"
"Canadian Gift Exchange Network","cluster_0"
"West Coast Collectables Co.","cluster_1"
"Cambridge Collectables Co.","cluster_0"
"Super Scale Inc.","cluster_0"
"Tokyo Collectables, Ltd","cluster_1"
"Souveniers And Things Co.","cluster_0"
"Amica Models & Co.","cluster_0"
"Scandinavian Gift Ideas","cluster_1"
"Auto Assoc. & Cie.","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_0"
"Online Diecast Creations Co.","cluster_3"
"Mini Wheels Co.","cluster_3"
"Australian Collectors, Co.","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_0"
"Anna's Decorations, Ltd","cluster_0"
"Corporate Gift Ideas Co.","cluster_1"
"Anna's Decorations, Ltd","cluster_3"
"Quebec Home Shopping Network","cluster_0"
"Euro Shopping Channel","cluster_2"
"Motor Mint Distributors Inc.","cluster_1"
"Marseille Mini Autos","cluster_1"
"Alpha Cognac","cluster_0"
"Anna's Decorations, Ltd","cluster_0"
"Heintze Collectables","cluster_0"
"Quebec Home Shopping Network","cluster_1"
"Herkku Gifts","cluster_1"
"Online Diecast Creations Co.","cluster_0"
"Muscle Machine Inc","cluster_1"
"Euro Shopping Channel","cluster_0"
"Vida Sport, Ltd","cluster_1"
"Osaka Souveniers Co.","cluster_1"
"UK Collectables, Ltd.","cluster_0"
"L'ordine Souveniers","cluster_3"
"Signal Gift Stores","cluster_1"
"Vida Sport, Ltd","cluster_1"
"Norway Gifts By Mail, Co.","cluster_1"
"Toms Spezialitten, Ltd","cluster_1"
"FunGiftIdeas.com","cluster_1"
"Motor Mint Distributors Inc.","cluster_1"
"Australian Collectors, Co.","cluster_1"
"Lyon Souveniers","cluster_0"
"Mini Creations Ltd.","cluster_3"
"Toys of Finland, Co.","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_0"
"Danish Wholesale Imports","cluster_2"
"Salzburg Collectables","cluster_1"
"Vitachrome Inc.","cluster_1"
"Mini Wheels Co.","cluster_0"
"Australian Collectors, Co.","cluster_0"
"Souveniers And Things Co.","cluster_0"
"Signal Collectibles Ltd.","cluster_1"
"Corporate Gift Ideas Co.","cluster_1"
"Rovelli Gifts","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_3"
"Australian Collectables, Ltd","cluster_0"
"Euro Shopping Channel","cluster_0"
"West Coast Collectables Co.","cluster_3"
"Saveley & Henriot, Co.","cluster_0"
"Euro Shopping Channel","cluster_1"
"Danish Wholesale Imports","cluster_0"
"Amica Models & Co.","cluster_1"
"Herkku Gifts","cluster_1"
"Auto Assoc. & Cie.","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_0"
"Online Diecast Creations Co.","cluster_0"
"AV Stores, Co.","cluster_1"
"Signal Gift Stores","cluster_3"
"Lyon Souveniers","cluster_3"
"Collectables For Less Inc.","cluster_2"
"Euro Shopping Channel","cluster_3"
"Anna's Decorations, Ltd","cluster_1"
"Diecast Classics Inc.","cluster_1"
"Vitachrome Inc.","cluster_3"
"Mini Wheels Co.","cluster_3"
"Corrida Auto Replicas, Ltd","cluster_3"
"Souveniers And Things Co.","cluster_3"
"Signal Collectibles Ltd.","cluster_3"
"Corporate Gift Ideas Co.","cluster_3"
"Rovelli Gifts","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_3"
"Australian Collectables, Ltd","cluster_3"
"Euro Shopping Channel","cluster_0"
"West Coast Collectables Co.","cluster_3"
"Saveley & Henriot, Co.","cluster_3"
"Euro Shopping Channel","cluster_3"
"Danish Wholesale Imports","cluster_3"
"Amica Models & Co.","cluster_3"
"Herkku Gifts","cluster_3"
"Auto Assoc. & Cie.","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_3"
"Online Diecast Creations Co.","cluster_3"
"AV Stores, Co.","cluster_3"
"Australian Collectors, Co.","cluster_3"
"Lyon Souveniers","cluster_3"
"Collectables For Less Inc.","cluster_0"
"Corporate Gift Ideas Co.","cluster_3"
"Anna's Decorations, Ltd","cluster_1"
"Diecast Classics Inc.","cluster_3"
"AV Stores, Co.","cluster_1"
"Atelier graphique","cluster_0"
"Reims Collectables","cluster_1"
"Anna's Decorations, Ltd","cluster_1"
"Heintze Collectables","cluster_1"
"Gift Depot Inc.","cluster_1"
"Herkku Gifts","cluster_1"
"Online Diecast Creations Co.","cluster_0"
"Muscle Machine Inc","cluster_0"
"Euro Shopping Channel","cluster_1"
"Collectable Mini Designs Co.","cluster_0"
"Mini Caravy","cluster_3"
"UK Collectables, Ltd.","cluster_0"
"L'ordine Souveniers","cluster_1"
"Signal Gift Stores","cluster_3"
"Handji Gifts& Co","cluster_0"
"Norway Gifts By Mail, Co.","cluster_0"
"Euro Shopping Channel","cluster_0"
"FunGiftIdeas.com","cluster_1"
"Motor Mint Distributors Inc.","cluster_1"
"Reims Collectables","cluster_1"
"Toys4GrownUps.com","cluster_0"
"Euro Shopping Channel","cluster_3"
"The Sharp Gifts Warehouse","cluster_2"
"Salzburg Collectables","cluster_1"
"Rovelli Gifts","cluster_1"
"Salzburg Collectables","cluster_2"
"Gift Ideas Corp.","cluster_0"
"Mini Creations Ltd.","cluster_1"
"Toys of Finland, Co.","cluster_1"
"Scandinavian Gift Ideas","cluster_1"
"Alpha Cognac","cluster_1"
"Double Decker Gift Stores, Ltd","cluster_1"
"Cruz & Sons Co.","cluster_2"
"Osaka Souveniers Co.","cluster_1"
"Collectable Mini Designs Co.","cluster_2"
"The Sharp Gifts Warehouse","cluster_2"
"Euro Shopping Channel","cluster_1"
"Collectables For Less Inc.","cluster_2"
"Norway Gifts By Mail, Co.","cluster_1"
"Bavarian Collectables Imports, Co.","cluster_1"
"Classic Gift Ideas, Inc","cluster_2"
"giftsbymail.co.uk","cluster_0"
"Danish Wholesale Imports","cluster_0"
"Royale Belge","cluster_1"
"Stylish Desk Decors, Co.","cluster_0"
"Oulu Toy Supplies, Inc.","cluster_3"
"Euro Shopping Channel","cluster_3"
"Reims Collectables","cluster_0"
"The Sharp Gifts Warehouse","cluster_1"
"L'ordine Souveniers","cluster_0"
"Online Diecast Creations Co.","cluster_1"
"AV Stores, Co.","cluster_1"
"Signal Gift Stores","cluster_0"
"Signal Collectibles Ltd.","cluster_1"
"Corporate Gift Ideas Co.","cluster_1"
"Rovelli Gifts","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_2"
"Australian Collectables, Ltd","cluster_0"
"Muscle Machine Inc","cluster_1"
"Corrida Auto Replicas, Ltd","cluster_1"
"Saveley & Henriot, Co.","cluster_0"
"Mini Caravy","cluster_2"
"Amica Models & Co.","cluster_0"
"Handji Gifts& Co","cluster_1"
"UK Collectables, Ltd.","cluster_2"
"Mini Gifts Distributors Ltd.","cluster_2"
"Motor Mint Distributors Inc.","cluster_0"
"Marseille Mini Autos","cluster_2"
"Toys4GrownUps.com","cluster_1"
"Euro Shopping Channel","cluster_1"
"The Sharp Gifts Warehouse","cluster_2"
"Souveniers And Things Co.","cluster_1"
"Cruz & Sons Co.","cluster_0"
"Marseille Mini Autos","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_0"
"Collectables For Less Inc.","cluster_3"
"Men 'R' US Retailers, Ltd.","cluster_0"
"Mini Auto Werke","cluster_3"
"Herkku Gifts","cluster_3"
"Online Diecast Creations Co.","cluster_0"
"Euro Shopping Channel","cluster_0"
"Euro Shopping Channel","cluster_3"
"Vida Sport, Ltd","cluster_0"
"Oulu Toy Supplies, Inc.","cluster_0"
"UK Collectables, Ltd.","cluster_3"
"L'ordine Souveniers","cluster_3"
"Signal Gift Stores","cluster_3"
"Vida Sport, Ltd","cluster_0"
"Blauer See Auto, Co.","cluster_0"
"Toms Spezialitten, Ltd","cluster_3"
"FunGiftIdeas.com","cluster_0"
"Land of Toys Inc.","cluster_0"
"Australian Collectors, Co.","cluster_0"
"Suominen Souveniers","cluster_0"
"Toys of Finland, Co.","cluster_3"
"Scandinavian Gift Ideas","cluster_0"
"Mini Caravy","cluster_1"
"Salzburg Collectables","cluster_0"
"Motor Mint Distributors Inc.","cluster_1"
"Marseille Mini Autos","cluster_0"
"Alpha Cognac","cluster_1"
"Anna's Decorations, Ltd","cluster_0"
"Heintze Collectables","cluster_1"
"Quebec Home Shopping Network","cluster_1"
"Herkku Gifts","cluster_0"
"Online Diecast Creations Co.","cluster_2"
"Muscle Machine Inc","cluster_1"
"Euro Shopping Channel","cluster_1"
"Collectable Mini Designs Co.","cluster_0"
"Osaka Souveniers Co.","cluster_1"
"UK Collectables, Ltd.","cluster_1"
"L'ordine Souveniers","cluster_1"
"Signal Gift Stores","cluster_0"
"Vida Sport, Ltd","cluster_0"
"Norway Gifts By Mail, Co.","cluster_2"
"Toms Spezialitten, Ltd","cluster_0"
"FunGiftIdeas.com","cluster_0"
"Motor Mint Distributors Inc.","cluster_3"
"Australian Collectors, Co.","cluster_0"
"Lyon Souveniers","cluster_3"
"Royale Belge","cluster_0"
"Toys of Finland, Co.","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_3"
"Danish Wholesale Imports","cluster_2"
"Salzburg Collectables","cluster_1"
"Euro Shopping Channel","cluster_0"
"Classic Legends Inc.","cluster_2"
"Muscle Machine Inc","cluster_2"
"Suominen Souveniers","cluster_1"
"Oulu Toy Supplies, Inc.","cluster_2"
"Dragon Souveniers, Ltd.","cluster_1"
"L'ordine Souveniers","cluster_0"
"Iberia Gift Imports, Corp.","cluster_2"
"Mini Classics","cluster_1"
"Diecast Collectables","cluster_2"
"Signal Collectibles Ltd.","cluster_2"
"Blauer See Auto, Co.","cluster_2"
"Euro Shopping Channel","cluster_1"
"Handji Gifts& Co","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_2"
"Mini Gifts Distributors Ltd.","cluster_0"
"Land of Toys Inc.","cluster_1"
"Marta's Replicas Co.","cluster_0"
"Heintze Collectables","cluster_1"
"Vitachrome Inc.","cluster_2"
"La Corne D'abondance, Co.","cluster_2"
"Muscle Machine Inc","cluster_2"
"Euro Shopping Channel","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_3"
"Euro Shopping Channel","cluster_2"
"La Rochelle Gifts","cluster_1"
"Online Diecast Creations Co.","cluster_0"
"AV Stores, Co.","cluster_3"
"Signal Gift Stores","cluster_3"
"Signal Collectibles Ltd.","cluster_3"
"Corporate Gift Ideas Co.","cluster_3"
"Rovelli Gifts","cluster_3"
